label,data
1,애덜앙 나 너무 배불러서 배 아파
1,배 아프면 약국 가서 소화제라도 마시는 거 어때
1,얼마나 먹었다고 배가 아프데
1,떡볶이랑 튀김이랑 닭껍질튀김이랑 마카롱 먹었어
1,하긴 *이 배는 파리보다 작으니까 당연히 그만큼 먹어도 배부르지
1,아닌데 그냥 많이 먹은 거 같은데
1,그냥 나 뭐 사주기 싫어서 그런 거 같은데.
1,겨우 떡볶이랑 치킨이랑 튀김이랑 닭껍질튀김 가지고 그러면 어떡해 그마저도 내가 다 먹었는데
1,스테키 샐러드 마렵다 ㅠ 다이어트 겸 ㅎ
1,샐러드는 빼고 스테이크만 먹고 싶은데 그것도 다이어트 될까?
1,샐러드 진짜 하루 종일 먹어줄 수 있는데
1,샐러드는 하루 종일 먹어도 배고파
1,소도 풀만 먹는다. 샐러드라고 많이 먹어도 되는 건 아니야
1,그니까 하루 종일 먹을 수 있는 거지 하루 종일 배고프니까
1,요즘은 샐러드 엄청 비싸게 팔더라
1,샐러드? 그냥 산 가서 쑥 같은 거 좀 캐 가지고 드레싱 뿌리면 되는 거 아님?
1,풀때기 몇 개에 계란 하나 올려준 거 쿠팡에서 많이 나가긴 하던데
1,키키 샐러드 파는 가게 많잖아 거의 7천원 대야
1,도대체 샐러드를 왜 돈 주고 사 먹는 거야?
1,난 풀 취급 안 한다
1,샐러드 두 개 먹을 돈이면 치킨 한 마리 시켜 먹는다
1,너가 생각하는 그런 풀이 아닐 껄
1,나는 그 돈에서 조금 더 보태서 이마트 할인 소고기 먹을래
1,소고기 맛있지 만간 고기 파티 하자
1,이마트 대패 삼겹 존맛
1,아 얘들아 나 집들이 할 테니까 너네가 음식 사와라
1,집들이 지금 하고 있는 거 아니었나?
1,오늘 집들이 하자 메뉴는 뭐가 좋을까
1,내가 집들이 선물을 못 받았는데?
1,아 선물 안 받으면 집들이 안 한 거야? 키키 휴지 사감
1,선물은 우리 방문이면 충분하지 않음?
1,미쳐 가지고. 스스로의 존재가 그렇게 거대하다고 생각 하지마.
1,원룸 하나에 사람으로 꽉 차면 그게 집들이 선물이지 뭐
1,아 이사 가고 싶다
1,아 난 진짜 투룸 전세 집 가고 싶어
1,투룸 전세면 천안 기준 한 1억은 줄라나?
1,혼자 살면서 왠 투룸이야 비싸
1,그냥... 투룸 사는 게 내 꿈이야 난 방이 있었으면 좋겠어
1,신축은 많이 비싸긴 하더라구
1,원룸은 그냥 커다란 방 하나 임
1,원룸은 너무 문 열고 나가면 복도잖아. 집이라고 하기에는 애매해
1,그냥 방이랑 화장실 하나랑 나만 있으면 되지 뭔 걱정이야
1,너 미닫이 문 있으니까 방이지 하하
1,아니 그냥 내가 집으로 인정하기 싫다니까? 난 투룸 가고 싶다고.
1,생각보다 집이 좁진 않아서 다행이야 근데 한 5명까진 들어가잖아
1,지금 월세가 얼마 정도 하냐
1,우리 집은 관리비까지 40이고 우리 집에 아쉽게도 5인이 와본 적이 없어
1,관리비 포함 40이면 좀 아깝긴 해. 전세 가자 응원할게
1,5만원 더 주면 투룸 가능
1,응원은 돈으로 받아.
